"","pred","true","w","index"
"30",8.67799999999996,7.66666666666667,6,36
"31",8.22916666666662,8.33333333333333,6,37
"32",8.40044444444443,8.66666666666667,6,38
"33",8.49008888888887,8.33333333333333,6,39
"34",8.40792222222222,8.66666666666667,6,40
"35",8.44511111111111,8.33333333333333,6,41
"36",8.29233333333333,8.66666666666667,6,42
"37",8.54665555555555,10,6,43
"38",8.58271111111111,5.66666666666667,6,44
"39",6.70889999999998,7,6,45
"40",6.63166666666667,7.66666666666667,6,46
"41",7.09537777777778,6.66666666666667,6,47
"42",6.77458888888888,2.66666666666667,6,48
"43",4.31960000000002,5.33333333333333,6,49
"44",4.58512222222222,9.33333333333333,6,50
"45",7.17421111111114,4.33333333333333,6,51
"46",5.63446666666667,4,6,52
"47",5.20407777777778,8,6,53
"48",6.16652222222222,7.66666666666667,6,54
"49",6.89816666666667,8.33333333333333,6,55
"50",7.92046666666667,8.33333333333333,6,56
"51",7.46710000000001,8.66666666666667,6,57
"52",8.09367777777777,8.66666666666667,6,58
"53",8.37917777777776,8.66666666666667,6,59
"54",8.4834,9,6,60
"55",8.7251111111111,8.66666666666667,6,61
"56",8.69442222222221,8.66666666666667,6,62
"57",8.72945555555553,8.66666666666667,6,63
"58",8.71333333333331,8.33333333333333,6,64
"59",8.67304444444443,9,6,65
"60",8.85425555555554,8,6,66
